,title,published_date,viewCount,likeCount,commentCount,Month
65,"('INS Vikrant | How Aircraft carrier Works | INS Vishal | INS Vikrant Radars And Avionics | Mig 29K',)",2021-08-15 13:47:11+00:00,11963339,461796,30884.0,Aug
66,"('UNSC | Taliban | Afghanistan Conflict |',)",2021-08-12 14:00:12+00:00,9999791,489295,18971.0,Aug
67,"('What is e-RUPI | How e-RUPI Work | e-RUPI and UPI | QR Code | SMS in e-RUPI | NPCI | e- Voucher',)",2021-08-05 07:43:47+00:00,7565337,405763,28150.0,Aug
68,"('Taliban | Tehreek -e-Taliban | Dasu Dam Blast | East Turkistan | Chinese Works in Pakistan Blast',)",2021-08-02 09:51:15+00:00,5401173,315326,17599.0,Aug
69,"('New QUAD Group in Afghanistan | TROIKA Plus Group | Taliban | Afghanistan Issue',)",2021-07-24 18:02:40+00:00,4048929,247035,12826.0,Jul
70,"('ATM Card | Plastic Money | Credit Card | Debit Card | VISA | RUPAY | MASTER Card | Card Network',)",2021-07-23 17:19:01+00:00,22257220,736718,30973.0,Jul
71,"('Pegasus Spyware | Malware | Israel NSO Group | India Spying Imran Khan Mobile by Pegasus Spyware',)",2021-07-21 17:46:25+00:00,6276915,383000,20372.0,Jul
72,"('Taliban | Origin of Taliban | Impact of Taliban on India | US Troops return From Afghanistan | Osama',)",2021-07-19 15:49:51+00:00,6698614,368056,24245.0,Jul
73,"('RRC group D Modification | Railway Form Reject',)",2021-07-17 18:53:32+00:00,4230732,268849,12036.0,Jul
74,"('O.I.C Counties and India | India  Refuse O.I.C Countries Proposal on Kashmir Issue',)",2021-07-14 17:24:07+00:00,9388444,484057,34484.0,Jul
75,"('Indian Troops on China Border | China Debt Trap | Third Surgical strike | Drone Attack on Jammu',)",2021-07-05 14:55:01+00:00,7350457,426735,30703.0,Jul
76,"('H-20 Stealth Bomber | B2 Bomber | Over The Horizon Radar | OTH Radar | Chinese Stealth Bomber H-20',)",2021-06-29 16:00:08+00:00,7803234,352157,15376.0,Jun
77,"('China Start Bullet Train & S400 Missile near Border | Theatre Commands of India | Agni Prime Missile',)",2021-06-27 17:56:48+00:00,7457995,412166,31450.0,Jun
78,"('Delta Plus Variant | Wuhan Lab | China Demand Novel Prize | Third Wave of Corona | Corona Vaccine',)",2021-06-26 18:18:30+00:00,3773836,259003,14567.0,Jun
79,"('Maritime Boundary of Country | Fishing Ship | UNO Law of Sea | EEZ |',)",2021-06-25 15:23:17+00:00,11161198,434740,15149.0,Jun
80,"('Coco Island Dispute | Myanmar Dispute | Myanmar Coup | dictatorship in Myanmar | Aung San Suu Kyi',)",2021-06-22 07:39:55+00:00,4490175,347570,54867.0,Jun
81,"('End of Twitter Legal Protection | Twitter Dispute | China Controversial Cartoon On India and G7',)",2021-06-18 16:36:05+00:00,4876830,359090,26733.0,Jun
82,"('G7 Meeting 2021 | BBBW | BRI Project | OBOR | Build Back Better World | G7 Countries | Silk Rout',)",2021-06-17 15:23:18+00:00,5000639,360584,27579.0,Jun
83,"('Article 370 | Large Troops Deployment in Jammu and Kashmir | Nuclear Weapons of India and Pakistan',)",2021-06-15 17:19:50+00:00,6397781,463259,39839.0,Jun
84,"('Delta Variants | All Variants of Corona Virus | Third Wave of Corona | Khan Sir New Video |',)",2021-06-15 13:57:12+00:00,3803752,367496,62206.0,Jun
85,"('Who Is Khan Sir | Khan Sir or Amit Singh | #Report on Khan | Real Name of Khan Sir',)",2021-05-26 13:51:43+00:00,14705230,1242691,430706.0,May
86,"('How Iron dome Work | Israel Missile Defense System | Tamir Missile | Spyder & Arrow Missile Defense',)",2021-05-23 17:13:13+00:00,6458792,301464,26528.0,May
87,"('Ceasefire Between HAMAS and Israel | Israel Palestine Conflict | Gaza | Iron Dome | Al-Aqsa Mosque',)",2021-05-22 10:22:46+00:00,7651005,386516,39642.0,May
88,"('Why India not Support Israel in U.N.O| Israeli–Palestinian Conflict | Gaza Strip | Jerusalem | O.I.C',)",2021-05-18 06:11:12+00:00,6243887,386858,38691.0,May
89,"('How Remdesivir Work | Cytokine Storm | HRCT | CT Score | CO-RADS | Dexamethasone | Inflammation',)",2021-05-16 05:58:27+00:00,4556471,267904,15332.0,May
90,"('Israeli–Palestinian Conflict | HAMAS | Gaza Strip | West Bank | Al-Aqsa mosque | Jerusalem | O.I.C',)",2021-05-13 16:36:57+00:00,32564652,1093757,83196.0,May
91,"('Third Wave of Corona | 2-DG Drug of DRDO | Corona Vaccine | Corona Pick | Reply to Sonu Nigam Sir',)",2021-05-11 07:22:41+00:00,4201883,345318,25118.0,May
92,"('Which Vaccine is Best | Adar Poonawalla |',)",2021-05-03 18:49:15+00:00,4793337,294429,26525.0,May
93,"('What is Liquid Oxygen | LMO | OPD | ICU | ICU Ward | OT | Oxygen Therapy | Nebulizer | Ventilator |',)",2021-05-02 04:40:14+00:00,4891577,234245,9814.0,May
94,"('U.S Embargo on Vaccine | Corona Peak in India',)",2021-04-28 04:49:45+00:00,3005144,275606,21286.0,Apr
95,"('Oxygen Crisis in India | Virafin | Nasal Spray Covid-19 | Green Corridor | Covid-19 Medicine |',)",2021-04-26 08:38:49+00:00,6245372,421094,27820.0,Apr
96,"('France-Pakistan  Relation | Tehreek-e-Labbaik | Anti France Protest in Pakistan | France Ambassador',)",2021-04-24 09:51:14+00:00,5705699,367369,33144.0,Apr
97,"('What is RT-PCR Test | What is CT Value in RT-PCR | How Pulse-Oximeter Work | How Recover From Corona',)",2021-04-20 15:10:20+00:00,8078958,346641,16500.0,Apr
98,"('How Vaccine Work | Which Vaccine is Better | How to Recover From corona | Corona Update | Covid-19',)",2021-04-20 03:57:21+00:00,6592744,356459,20891.0,Apr
99,"('Corona Second Wave | Lockdown | Corona Vaccine | New Strain of Corona | Symptoms of Corona Covid-19',)",2021-04-18 15:21:17+00:00,5399222,352678,18928.0,Apr
100,"('US Report on India-Pakistan Relation | India-Pakistan War in 2024-25 Due to Terrorist Attack',)",2021-04-14 07:44:52+00:00,3541768,261669,20254.0,Apr
101,"('Naxalite Problem and Solution | What is Naxals | Salwa Judum | Maoist Group | Insurgency in India',)",2021-04-11 05:26:27+00:00,14489717,442905,19776.0,Apr
102,"(""Bermuda Triangle Mystery | Dragon Triangle | Amarda Airstrip | Sargasso Sea | Area 51 | Devil's Sea"",)",2021-03-23 06:23:50+00:00,29956866,917728,24661.0,Mar
103,"('INS Dhruv | VC-11184 | Ballistic Missile Tracking Ship | Japan Refuse to Launch Myanmar Satellite',)",2021-03-19 02:09:06+00:00,4888138,278586,7634.0,Mar
104,"('BrahMos Missile | India Export BrahMos Missile to Philippines |',)",2021-03-14 15:53:09+00:00,5889510,261351,12493.0,Mar
105,"('Myanmar Dispute | Iran Israel Dispute | Mosad | revolutionary guard',)",2021-03-09 17:17:54+00:00,1659015,110858,4688.0,Mar
106,"(""Woman's Day | Woman's Day Quotation |"",)",2021-03-08 17:00:54+00:00,2697339,230940,14259.0,Mar
